Time,ACEA,ACEB,ACEE,ACKAR,ACNAR,ACNBR,ACS,ACUPR,ACex,ACxt_b,ADHER,ADK,ATPAR,ATPM,ArcA,CO2ex,CO2xt_b,COZTXR,CYDA,CYOA,Cra,Crp,DCTAR,DCUAR,DCUBR,DCUC,DLD1R,DLD2,DcuR,DcuS,ENOR,ETHUPR,ETHex,ETHxt_b,FBAR,FBP,FDNG,FDOH,FORUPR,FORex,FORxt_b,FRDA,FUMAR,FUMBR,FUMCR,FadR,Fnr,GALER,GALKR,GALM1R,GALM2R,GALTR,GALUR,GAPAR,GLCPTS,GLCUP,GLCex,GLCxt_b,GLK,GLPA,GLPD,GLPK,GLTA,GLUPR,GLex,GLxt_b,GND,GPMAR,GPMBR,GPSAR,GalR,GalS,GlpR,Growth,ICDAR,IclR,LACDN,LACUP,LACYR,LACZ,LACex,LACxt_b,LCTSex,LCTSxt_b,Lacl,MAEB,MDHR,Mlc,NDH,NUOA,O2TXR,O2ex,O2xt_b,PCKA,PFKA,PFKB,PFLA,PFLC,PGIR,PGKR,PGL,PGMR,PIUP2R,PIex,PIxt_b,PNTA1,PNTA2,PPA,PPC,PPSA,PTAR,PYKA,PYKF,PYRUPR,PYRex,PYRxt_b,PdhR,RBSK,RIBUPR,RIBex,RIBxt_b,RPER,RPIAR,RPIBR,RbsR,RpiR,SDHA1,SDHA2,SFCA,SUCA,SUCCR,SUCCex,SUCCxt_b,SurplusF6P,SurplusFDP,SurplusPYR,TALAR,TALBR,TKTA1R,TKTA2R,TKTB1R,TKTB2R,TPIAR,ZWFR,aceA,aceB,aceEF,ackA,acnA,acnB,acs,adhE,adk,atpABCDEFGHI,crr,cydAB,cyoABCD,dctA,dcuA,dcuB,dcuC,dld,eno,fba,fbp,fdnGHI,fdolHG,focA,frdABCD,fumA,fumB,fumC,galE,galK,galM,galP,galT,galU,gapA,glk,glpABC,glpD,glpF,glpK,gltA,gnd,gpmA,gpmB,gpsA,icdA,lacY,lacZ,lpdA,maeB,mdh,ndh,nuoABEFGHIJKLMN,pckA,pfkA,pfkB,pflAB,pflCD,pgi,pgk,pgl,pgm,pitAB,pntAB,ppa,ppc,ppsA,pta,ptsGHI,pykA,pykF,rbsABCD,rbsK,rpe,rpiA,rpiB,sdhABCD,sfcA,sucAB,sucCD,talA,talB,tktA,tktB,tpiA,zwf,VGRO,biomass
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.698812982927482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8958.77113649119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,1.0,1,0.0,0.0,0,1,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0,,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0,1.0,0.0,0.0,1,1.0,1,1.0,0.0,0.0,1,0,1.0,1.0,,1.0,1,1,0.0,1,0.0,1.0,0,0.0,0,,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,1.0,1.0,1,0.0,0.002110975532911356
1,0.0,0.0,1.5431875635194112,12.167915025850572,114697.91492049048,-92924.53748020965,0.0,-12.559274152541791,12.220749297354251,0.0,14.207061285733811,0.0,1.0332085430041205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,38.70502056009384,-12.813328403802151,14.182680846477593,0.0,15.561382405184522,0.0,0.0,0.0,-31.096473400163145,30.90181342427814,0.0,0.0,0.0,-91679.85464987108,98061.35058609286,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.263264458709116,19.167945361583495,0.0,-17.571149063108976,11.77751737479734,0.0,0.0,0.0,0.0,0.8612809911355077,0.0,0.0,0.0,0.0,90451.08996039355,-112123.43002048721,0.0,1.0,1.0,1.0,0.8604048585700627,0.7528303733287269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.933146258707986,31.70315229175804,0.0,17.39350557782933,40.032602342018265,0.0,0.0,2.7200964207373097,-2.603610221683487,10099.295334178094,0.0,14.76498369061039,0.0,2.4927513462070965,0.0,13.687761290916452,0.0,13.42699514821172,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5204720863076171,0.529192925745899,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-87095.33208553145,100439.97254723971,-114987.27658230007,-109490.91151650531,90878.34986704914,96218.18723998127,-17.510958473260967,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,1.0,1,,1,1.0,0.0,0,1,,1.0,1,1,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,0,,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1,1.0,0.0,0.0,1,,1,1.0,1.0,1.0,1,1,1.0,1.0,,,1,1,0.0,1,1.0,1.0,1,,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1,0.8249966471637721,0.0021656319973415287
2,0.0,0.0,0.0,10.841182343859288,106838.04105394453,-94557.67907356226,0.0,-12.909081575176646,9.970934647566255,0.0002820744805722216,11.95444860793856,0.0,-0.3933696870504944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.67775823162773,-13.848398850474377,11.89284930162343,0.00027241234583679495,18.341544839181402,0.0,0.0,0.0,-30.94516709332944,32.757355816414,0.0006030235180068144,0.0,0.0,-85809.39629024378,88460.10323230493,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42770105722018,18.260649894175966,0.0,-18.529305940557098,9.015150587858349,0.0,0.0,0.0,0.0,0.7626912885353468,0.0,0.0,0.0,1.1868337273470098,92496.98350698056,-107745.45108465082,0.0,1.0,1.0,1.0,0.8591047065611828,0.7754837484928373,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.228775782197564,28.990351836285562,0.0,16.03293576316098,33.019990204053194,1.461387192302863,0.0,2.70224339530277,-2.3903990489073816,9538.264756682956,0.0,10.71638388863651,0.0,2.249385526058731,0.0,10.921358880655273,10.644841963703412,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.4116428297406332,0.9075147089023783,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,102098.73956143614,-92810.25861316186,-102053.73101831497,92075.17024829797,90601.60779338695,-114619.33086016506,-15.932421877056106,1.1637342205763441,0.0,0.0,,1.0,1.0,1,0.0,,1,,1,,0.0,0,1,,,1,1,1.0,1.0,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1.0,1.0,,,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,,0.0,0,1.0,0.0,0.0,1,1.0,1,1.0,,1.0,1,1,,1.0,1.0,,1,1,1.0,1,1.0,,0,0.0,0,,1.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,1,0.7958001645725563,0.0017208636620132363
212,0.0,0.0,1.4909109169121308,11.009687762086571,99428.5564025159,-96041.75666544939,0.0,-12.047879856822247,13.45781971176721,0.12497471882905233,12.147220272095026,0.0,0.804900242281546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.74731012346932,-12.301026825745172,12.214328595108446,0.14617104691870766,17.895676474061645,0.0,0.0,0.0,-31.829719381481585,28.14064475099607,0.2855032467304225,0.0,0.0,-99430.38934893293,113731.62998067474,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14217399609633,19.41314951220856,0.0,-20.46120941075378,10.313703432971803,0.0,0.0,0.0,0.0,0.8848547463370627,0.0,0.0,0.0,0.0,114929.7804157387,-86054.2839770888,0.0,1.0,1.0,1.0,0.74258970526692,0.852918076824625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.792467062809113,30.870571882727624,0.0,18.41955143924539,32.096332098625076,0.0,0.0,2.8274686065258745,-2.803224869886256,9145.38845501301,0.0,14.655325172488215,0.0,1.9994586125930707,0.0,12.867675290265892,0.0,13.501951953621598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6121104751134643,0.5253427319965575,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,-112806.56717606857,106899.27950398464,-113666.31715115286,-94076.44360090847,100946.54844335048,97706.07958317756,-15.201134925548292,0.0,,0.0,1.0,1.0,,1,,1.0,1,1.0,1,,,0,1,0.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,,1.0,0,1.0,1.0,1.0,,0,0.0,,1.0,1.0,1.0,,1.0,1,1.0,0.0,1,1.0,0.0,0.0,1,1.0,1,1.0,1.0,,1,1,1.0,1.0,1.0,1.0,1,1,0.0,1,1.0,1.0,1,0.0,0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.7195010220616399,0.011261209317785494
568,0.0,0.0,1.220307433762575,11.041271360704618,106344.05772454017,-94250.09323150649,0.0,-12.904405596361089,13.105872379851768,2.1801025145672175,12.785348601009133,0.0,0.8745219768978856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.2599459623278,-12.773690762034883,13.050478255775177,2.821224937475563,19.299526844970583,0.0,0.0,0.0,-29.64248918662705,23.662013269162617,5.323669178363985,0.0,0.0,-97287.37897015721,107769.96023356008,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.697272324840156,17.95654350566591,0.0,-20.179261075457653,7.6534829060141485,0.0,0.0,0.0,0.0,0.7687309100369623,0.0,0.0,0.0,0.0,98035.93518878035,-106480.03277289095,0.0,1.0,,,0.7544112693033739,0.9264026541612616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.653351978625267,29.20970010232176,0.0,19.38301984729847,37.41879612512803,0.0,0.0,3.0593353467929014,-2.38675753742771,8900.312620907633,0.0,13.237235002352845,0.0,2.274159880564959,0.0,12.664858474015254,0.0,11.10876173929483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47552374174205725,0.4974952648444402,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,-111428.94427515997,107454.41416659321,-105632.40859123757,-97643.3402617799,109893.95601134338,106633.44266651761,-20.211483606373665,0.0,0.0,,1.0,,1.0,1,0.0,,1,1.0,1,1.0,0.0,0,1,,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0,1.0,,1.0,0.0,0,0.0,0.0,,,1.0,1.0,1.0,1,1.0,0.0,1,,0.0,,1,1.0,1,1.0,1.0,,1,1,1.0,1.0,1.0,1.0,1,1,,1,,1.0,1,0.0,0,1.0,1.0,0.0,0.0,1.0,,1.0,,,1.0,1.0,,1,0.6610978028486161,0.16042030532942914
704,0.0,0.0,0.0,0.0,103870.30143897123,-113727.5552763257,0.0,0.0,0.0,6.542747090212664,0.0,0.0,0.0,1.0528524181217048e-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.355766692186835,0.0,0.0,0.0,0.0,0.0,0.0,15.815007512752357,0.0,0.0,-95400.68432787257,95224.11752343005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110961.45838941078,-113280.45797975076,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8696.440545531621,9.072414173195203e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,103072.1306956677,-97426.67776455083,110983.02744509497,107057.1172111981,-95278.47321285165,-85211.77129410891,0.0,0.0,,,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1.0,0.0,0,1,0.0,1.0,1,1,,1.0,,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,,1.0,1.0,1,1.0,0.0,1,,0.0,0.0,1,1.0,1,,1.0,1.0,1,1,1.0,,1.0,1.0,1,1,0.0,1,1.0,,1,0.0,0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.44191904416335037
705,0.0,0.0,0.0,0.0,89068.49488278641,-111505.15480513369,0.0,0.0,0.0,7.063175452810597,0.0,0.0,0.0,1.1283593179593241e-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.312489742434959,0.0,0.0,0.0,0.0,0.0,0.0,15.564857416219644,0.0,0.0,-96294.3355101389,107098.44280054365,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101473.61335636507,-109541.41509317124,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9864.50712017289,1.0086900273642748e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,86878.51780244465,-85887.48566648409,109190.34901829863,113118.22136851083,-100092.10219213534,-114190.72902973794,0.0,0.0,,0.0,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1.0,0.0,0,1,0.0,1.0,1,1,1.0,1.0,,1.0,,,0.0,,1.0,,,0.0,,0,,1.0,1.0,0.0,0,0.0,0.0,1.0,,1.0,1.0,1.0,1,1.0,,1,1.0,,0.0,1,1.0,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,0.0,1,1.0,1.0,1,0.0,0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1,0.0,0.48523459484808656
713,0.0,0.0,0.0,0.0,101456.5276642042,-99659.52210573168,0.0,0.0,0.0,7.836883048478994,0.0,0.0,0.0,9.603791250136373e-11,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.236012970672146,0.0,0.0,0.0,0.0,0.0,0.0,18.016809828345718,0.0,0.0,-98320.97670224203,96130.65463152181,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109056.0257872682,-100567.02029700336,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9135.536428239066,1.1373627462417708e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,88860.20270459054,-112272.76432851516,86155.82232897179,104256.01011741586,-98874.54958086391,-104207.69845485703,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,,1.0,1,1.0,1,1.0,0.0,0,1,0.0,1.0,1,1,1.0,1.0,1.0,,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,,1,1.0,,1,1.0,0.0,0.0,1,,1,1.0,1.0,1.0,1,1,1.0,,1.0,1.0,1,1,0.0,1,1.0,,1,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,1,0.0,0.4961086287946341
986,0.0,0.0,0.0,0.0,103472.82802683018,-90175.01588674609,0.0,0.0,0.0,6.747508281966497,0.0,0.0,0.0,1.0323877238157755e-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.295351321832252,0.0,0.0,0.0,0.0,0.0,0.0,13.843660968737309,0.0,0.0,-104440.56126401469,111039.72669414386,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113389.58733143173,-108349.95821171359,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10372.944842834158,8.69867268161771e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,85026.43596571093,-85545.8597108162,100449.88409921397,97939.01640582604,-101257.53611830766,-105938.28305995744,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1.0,0.0,0,1,,1.0,1,1,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1.0,1.0,,0.0,0,0.0,,1.0,,1.0,1.0,,1,1.0,0.0,1,1.0,0.0,0.0,1,1.0,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1,0.0,1,1.0,1.0,1,0.0,0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1,0.0,0.42203468381953035
