Time,ACEA,ACEB,ACEE,ACKAR,ACNAR,ACNBR,ACS,ACUPR,ACex,ACxt_b,ADHER,ADK,ATPAR,ATPM,ArcA,CO2ex,CO2xt_b,COZTXR,CYDA,CYOA,Cra,Crp,DCTAR,DCUAR,DCUBR,DCUC,DLD1R,DLD2,DcuR,DcuS,ENOR,ETHUPR,ETHex,ETHxt_b,FBAR,FBP,FDNG,FDOH,FORUPR,FORex,FORxt_b,FRDA,FUMAR,FUMBR,FUMCR,FadR,Fnr,GALER,GALKR,GALM1R,GALM2R,GALTR,GALUR,GAPAR,GLCPTS,GLCUP,GLCex,GLCxt_b,GLK,GLPA,GLPD,GLPK,GLTA,GLUPR,GLex,GLxt_b,GND,GPMAR,GPMBR,GPSAR,GalR,GalS,GlpR,Growth,ICDAR,IclR,LACDN,LACUP,LACYR,LACZ,LACex,LACxt_b,LCTSex,LCTSxt_b,Lacl,MAEB,MDHR,Mlc,NDH,NUOA,O2TXR,O2ex,O2xt_b,PCKA,PFKA,PFKB,PFLA,PFLC,PGIR,PGKR,PGL,PGMR,PIUP2R,PIex,PIxt_b,PNTA1,PNTA2,PPA,PPC,PPSA,PTAR,PYKA,PYKF,PYRUPR,PYRex,PYRxt_b,PdhR,RBSK,RIBUPR,RIBex,RIBxt_b,RPER,RPIAR,RPIBR,RbsR,RpiR,SDHA1,SDHA2,SFCA,SUCA,SUCCR,SUCCex,SUCCxt_b,SurplusF6P,SurplusFDP,SurplusPYR,TALAR,TALBR,TKTA1R,TKTA2R,TKTB1R,TKTB2R,TPIAR,ZWFR,aceA,aceB,aceEF,ackA,acnA,acnB,acs,adhE,adk,atpABCDEFGHI,crr,cydAB,cyoABCD,dctA,dcuA,dcuB,dcuC,dld,eno,fba,fbp,fdnGHI,fdolHG,focA,frdABCD,fumA,fumB,fumC,galE,galK,galM,galP,galT,galU,gapA,glk,glpABC,glpD,glpF,glpK,gltA,gnd,gpmA,gpmB,gpsA,icdA,lacY,lacZ,lpdA,maeB,mdh,ndh,nuoABEFGHIJKLMN,pckA,pfkA,pfkB,pflAB,pflCD,pgi,pgk,pgl,pgm,pitAB,pntAB,ppa,ppc,ppsA,pta,ptsGHI,pykA,pykF,rbsABCD,rbsK,rpe,rpiA,rpiB,sdhABCD,sfcA,sucAB,sucCD,talA,talB,tktA,tktB,tpiA,zwf,VGRO,biomass
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0.0,0.003
1,0.0,0.0,17.5533738292,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.3,16.5615349489,0.0,-0.8132075271,0.0,0,16.9579359854,0.0,-16.9579359854,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.6240256568,-16.5615349489,16.5615349489,0.0,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99999.0,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,10.4,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9999.0,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,-0.2386211584,-99998.7613788416,99999.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.003
2,0.0,0.0,0.0,-1.5840812977,99999.0,-99998.6476160107,0.0,1.5840812977,-1.5840812977,0.2999813914,0.0,0.0,-1.7770691647,0.0,0,0.3902570349,0.0005112974,-0.3902570349,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-17.281306032,0.0,0,0,19.3198638766,0.0,0.0,0.0004993456,9.850669378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,19.810566815,10.5,0.0,-10.5,10.3996834153,0.0,0.0,0.0,0.0,0.3523839893,0.0,0.0,0.0,0.9764659143,-99979.6801361234,99999.0,0.0,1,1,1,0.3293308311,0.3523839893,1,17.281306032,0.0,0.0,0.0,17.281306032,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,9.850669378,0.0,0.0,9.4576679195,19.810566815,0.9764659143,0.0,1.1987642253,-1.1987642253,9998.9999632871,0.0,3.6950919251,0.0,0.9385928687,0.0,-1.5840812977,7.713312284,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4160546167,0.5604112976,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99999.0,-99998.732693142,-99998.732693142,99999.0,99999.0,-99998.8512522413,-9.850669378,0.9764659143,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0.3293308311,0.0030100523
9,0.0,0.0,0.0,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.2998201327,-0.9918388803,0.0,-0.8132075271,0.0,0,-0.5954378438,0.0004137546,0.5954378438,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-17.5533738292,0.0,0,0,19.6240256568,0.9918388803,-0.9918388803,0.0003172015,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,10.3974375447,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,17.5533738292,0.0,0.0,0.0,17.5533738292,0.0037463039,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.9997034147,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.003081208
11,0.0,0.0,0.0,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.2997818441,-0.9918388803,0.0,-0.8132075271,0.0,0,-0.5954378438,0.0003768149,0.5954378438,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-17.5533738292,0.0,0,0,19.6240256568,0.9918388803,-0.9918388803,0.0002556698,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,10.3967861463,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,17.5533738292,0.0,0.0,0.0,17.5533738292,0.0048352791,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.999627875,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.0031018914
19,0.0,0.0,0.8228216518,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.299626102,-0.1690172284,0.0,-0.8132075271,0.0,0,0.227383808,0.0002265595,-0.227383808,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-16.7305521774,0.0,0,0,19.6240256568,0.1690172284,-0.1690172284,5.3849e-06,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,10.3941365315,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,16.7305521774,0.0,0.0,0.0,16.7305521774,0.0092647725,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.9993206113,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.0031860226
147,0.0,0.0,0.9918388803,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.2964738935,0.0,0.0,-0.8132075271,0.0,0,0.3964010365,0.0022457377,-0.3964010365,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-16.5615349489,0.0,0,0,19.6240256568,0.0,0.0,0.0,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,10.3405085207,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,16.5615349489,0.0,0.0,0.0,16.5615349489,0.0938570586,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.993101616,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.0048888339
553,0.0,0.0,0.9918388803,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.270328736,0.0,0.0,-0.8132075271,0.0,0,0.3964010365,0.0190381642,-0.3964010365,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-16.5615349489,0.0,0,0,19.6240256568,0.0,0.0,0.0,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,9.895705207,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,16.5615349489,0.0,0.0,0.0,16.5615349489,0.7954404536,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.9415198091,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.0190123498
1196,0.0,0.0,17.5533738292,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.0030941282,16.5615349489,0.0,-0.8132075271,0.0,0,16.9579359854,0.1906767366,-16.9579359854,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.6240256568,-16.5615349489,16.5615349489,0.0,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,5.3492862773,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,0.0,0.0,0.0,0.0,0.0,7.9664572374,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.4142923894,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.163371482
1197,0.0,0.0,0.0,-0.6171813606,99999.0,-99998.6420682624,0.0,0.6171813606,-0.6171813606,0.0020807579,-0.9918388803,0.0,-0.8132075271,0.0,0,-0.5954378438,0.218520544,0.5954378438,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-17.5533738292,0.0,0,0,19.6240256568,0.9918388803,-0.9918388803,0.0271929432,10.1710596181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,20.1224539643,10.5,0.0,-10.5,5.332045973,0.0,0.0,0.0,0.0,0.3579317376,0.0,0.0,0.0,0.0,-99979.3759743432,99999.0,0.0,1,1,1,0.3345156426,0.3579317376,1,17.5533738292,0.0,0.0,0.0,17.5533738292,7.9664572374,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,10.1710596181,0.0,0.0,0.0,10.4330968715,20.1224539643,0.0,0.0,1.217636939,-1.217636939,9998.4122931102,0.0,5.7369432704,0.0,0.9533695814,0.0,-0.6171813606,0.0,8.0000530977,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.2386211584,0.2386211584,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9409022365,-99999.0,-99999.0,99998.8204766052,99998.9409022365,-99999.0,-10.1710596181,0.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.3345156426,0.1639189009
